Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,170,150,170,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,170,150,170,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,130,150,130,150,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,130,150,130,150,NEW JERSEY,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,120,140,120,140,NEW YORK,,med-lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,150,170,150,170,PENNSYLVANIA,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,120,170,120,170,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/24/2016,180,190,180,190,PENNSYLVANIA,,med,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,170,150,170,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,170,150,170,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,140,140,140,140,NEW YORK,,med-lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,150,170,150,170,PENNSYLVANIA,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/01/2016,160,170,160,170,PENNSYLVANIA,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,180,160,180,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/08/2016,175,175,175,175,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/08/2016,140,150,140,150,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/08/2016,160,160,160,160,NEW YORK,ORANGE COUNTY NEW YORK,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/08/2016,120,140,120,140,PENNSYLVANIA,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/15/2016,120,130,120,130,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/15/2016,160,160,160,160,NEW YORK,ORANGE COUNTY NEW YORK,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/22/2016,120,130,120,130,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/22/2016,160,160,160,160,NEW YORK,ORANGE COUNTY NEW YORK,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/29/2016,120,130,120,130,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,10/29/2016,130,130,130,130,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,11/05/2016,100,150,100,150,NEW JERSEY,,xlge,,,,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/16/2017,140,150,140,150,NEW JERSEY,,xlge,,,PER BIN,,,,,,N,
PUMPKINS,NEW YORK,,36 inch bins,HOWDEN TYPE,,,09/16/2017,140,160,140,160,NEW JERSEY,,lge,,,PER BIN,,,,,,N,
